NAME,POSITION,Market size,No of emp,DATE,TITLE,LIKE,DISLIKE,BENEFITS
Unknown,Unknown,Mid-Market,51-1000 emp.,09-Nov-22,"""Planhat is a game changer!""","Customizable, intuitive, and EFFECTIVE, Planhat is helping our organization work smarter, not harder, when it comes to supporting our clients. We've received prompt support, ideas + best practices, and training to help get our organization up and running. We also LOVE that we have unlimited seats so everyone in our organization can use Planhat to get visibility into our clients. Review collected by and hosted on G2.com.",We're really happy customers! We have found that Planhat has illuminated some areas where our internal data needs cleaning up -- so that is a process. Review collected by and hosted on G2.com.,"Planhat is helping us work more effectively, making sure that, as we grow our number of customers, our support can scale right along with them. It's also allowing all members of our organization to have visibility into our customers. Review collected by and hosted on G2.com."
Unknown,Unknown,Enterprise,> 1000 emp.,02-Nov-22,"""Super Important for Customer Journey Mapping""","I like the simple yet robust UI that Planhat offers. Because of this, it seems to adapt to any business case. The purpose of the tool emphasizes that  CX is a large part of any product or service offering, and it is essential to let customers know that we are using their data to provide valuable insights that will better serve them. Review collected by and hosted on G2.com.","Nothing! Our Planhat team has been accommodating, and if we have questions or a feature request, they listen to our needs and build out what they can. Review collected by and hosted on G2.com.",Planhat is addressing CX head-on. It adds a layer to CRM that fills the customer and customer service gap. I truly believe it's the key tool that will change our offering in industry and set us apart from competitors. Review collected by and hosted on G2.com.
Charlotte R.,Customer Success Manager,Mid-Market,51-1000 emp.,04-Jul-22,"""A very complete tool for any Customer Success Manager""","All the tabs are fairly easy to use and understand. I have great visibility on all my accounts and their status. I can personalize each brand account and user to fit my needs. I can also add tasks to help me organize and keep in touch with the revenue generated from my portfolio. Overall, a very good tool to combat churn in my opinion. Review collected by and hosted on G2.com.","The interface is a little bit dark but still very lisible. I sometimes encounter bugs especially when it comes to integrated tools such as Gmail or Hubspot. But usually, it works fine ! Review collected by and hosted on G2.com.",I think Planhat can be a great tool but overwhelming at first if you don't know how to use - get yourself an expert inside your team OR make sure to pay extra attention during your onboarding ! Review collected by and hosted on G2.com.
Joe B.,Customer Success Manager,Small-Business,50 or fewer emp.,14-Oct-22,"""Very user-friendly CS platform with incredibly supportive staff""",A bit more intuitive than other similar platforms I have used.  Easy automation of customer correspondence makes customer success workflows and inter-departmental collaboration a breeze. Review collected by and hosted on G2.com.,"Looking forward to platform improvements around NPS surveys, but all in all a really solid platform that checks all the boxes. Review collected by and hosted on G2.com.","Having too many customers to keep up with is a good problem to have, but a problem nonetheless.  When it comes to regular correspondence such as scheduling kickoff calls, quarterly business reviews, prep for renewal, etc. Planhat allows for automation - which creates happy customers. Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,08-Nov-22,"""Great product to take your CS function to the next level""","I liked the ease of set up, and how quickly I was able to get used to navigating the new system. 
",Some of the calculated metrics formulas are hard to get used to and understand. It take a fair amount of effort to work out how to create these metrics and use them in reporting. Review collected by and hosted on G2.com.,"We went with Planhat in an effort to take our customer success team from working on spreadsheets and in salesforce into an environment that could handle data inputs from various sources. 
"
Megan C.,Customer Success Manager,Small-Business,50 or fewer emp.,01-Nov-22,"""Extremely Helpful CS Software!""","I love how Planhat can take care of ALL my CS needs! Previously we were using Notion, Asana, Hubspot, and various G-Suite products to manage everything which became quite tedious. Planhat is user friendly and makes my job a million times easier. Review collected by and hosted on G2.com.",I've been using Planhat for a few months now and haven't experienced anything negative. Review collected by and hosted on G2.com.,The customer portal is a game changer for my team. It's a huge improvement to our onboarding process and definitely makes things easier for our clients. Review collected by and hosted on G2.com.
Gonzalo C.,Chief Customer Officer,Mid-Market,51-1000 emp.,15-Jun-22,"""Solid platform with a lot of potential""",Ability to pull a complete view of a customer very easily. The customer portals are also very nice and a market differentiator. Review collected by and hosted on G2.com.,"The UX needs improvement. The way Planhat is designed is counter to many other ""norms"" in SaaS product structure. Once you know the way to access a feature etc it's fine but it's anything but intuitive. Review collected by and hosted on G2.com.","This is a great product for small and large organizations alike. We considered all the big players out there and found Planhat's team and software to be a much better fit for our needs. They have been extremely patient and collaborative with us and I greatly appreciate that.  If you are willing to put in the work, Planhat can improve your customer experience. 
"
Atakeli A.,Customer Success Manager,Small-Business,50 or fewer emp.,01-Nov-22,"""Planhat is a powerful CS tool that allows you to cater to the full lifecycle of a client/company.""",One thing that is great about Planhat is being able to log activities across other tools so you can keep track of everything and ensure they're taken care of on all fronts. Review collected by and hosted on G2.com.,I wish Planhat would provide more analytics of end users' usage data within whatever platform is integrated with them. Review collected by and hosted on G2.com.,"Planhat solves having all of your communication and tools with your clients in one central area. This is extremely helpful when preparing for renewals, price negotiations, etc. Review collected by and hosted on G2.com."
Unknown,Unknown,Small-Business,50 or fewer emp.,01-Nov-22,"""Planhat = Better CS Life""","I've used planhat in different organizations, and the greatest thing is how easy Planhat is to use and implement. Our onboarding was great, super quick, and we were getting results and benefits almost immediately. I love the NPS tool and how reports look like in Planhat. Review collected by and hosted on G2.com.","I have to say that Planhat is a very comprehensive solution, so zero things I dislike. Obviously, sometimes we have to adapt and use workarounds, but that's everywhere. Review collected by and hosted on G2.com.","Planhat gives me the ability to look at CS from many different points of view and show the great things we are doing through their reports, pages and tools. I retired spreadsheets and manual data analysis because of Planhat. Review collected by and hosted on G2.com."
Edwin G.,Head of Customer Success & Product,Mid-Market,51-1000 emp.,03-Jun-22,"""Planhat is like an extra team member""","Having all your customer data in 1 place of course is already a big win but to make it actionable and clear for everyone, that's an entirely different thing altogether. For us, Planhat is like an extra team member that always knows what's up with our customers and what the next action should be. Aside from this, their onboarding and (tech) support is absolutely awesome. Of course, being a CSM platform, this comes with the territory but nevertheless it's still remarkable. Review collected by and hosted on G2.com.",No real dislikes for me. If I have to be really critical maybe the inner workings of their API is a bit ambiguous or lacking in some parts. But they have a dedicated team that quickly responds to technical questions and a solution is always in sight. Review collected by and hosted on G2.com.,"Make sure you have a complet overview of all customer data you want to see in Planhat, and above all, HOW you want to see it and in what way it should be actionable. Review collected by and hosted on G2.com."
Peter K.,Director of Growth,Mid-Market,51-1000 emp.,08-Nov-22,"""Great Product, excellent support""",The health scoring and support have been instrumental in allowing us to continue to scale our business. Review collected by and hosted on G2.com.,There are some bugs with the new automation features that don't allow us to utilize their software completely. Review collected by and hosted on G2.com.,"We are saving a significant amount of time by using Planhat. Our internal calls are more metrics-focused, and it allows us to stay on top of the accounts that we predict are on a downward trend. Review collected by and hosted on G2.com."
Joseph B.,Implementation Success Manager,Enterprise,> 1000 emp.,29-Aug-22,"""Easy insight and automation for Customer Success""",Planhat provides a comprehensive dashboard for all customers within your territory. It allows you to identify key contacts and automates communication with those individuals based on your constructed playbooks. It also provides key notifications regarding upcoming tasks and deadlines. Review collected by and hosted on G2.com.,The only drawback to Planhat is that setup of some features relies heavily on supervisor approval. Navigation can be made difficult if there are a large number of end users in an identified entity. Review collected by and hosted on G2.com.,#NAME?
Unknown,Unknown,Mid-Market,51-1000 emp.,01-Nov-22,"""Streamlined Customer Success Platform""","Tasks are most helpful.  It has made it so much easier to keep track of customer asks, upcoming meetings, and outstanding agenda items and to ensure the customer is on track for success. Review collected by and hosted on G2.com.","Planhat is in the earlier stages of platform development so there are still features that are being released every month that would have been nice to have from the get-go.  Obviously everyone starts somewhere, and they are willing to listen to customer feedback on features that you want to see. Review collected by and hosted on G2.com.","Keeping customer tasks organized, visibility for the entire team, and the ability to tag internal stakeholders who need to be involved in customer asks in a straightforward way Review collected by and hosted on G2.com."
Unknown,Unknown,Small-Business,50 or fewer emp.,01-Nov-22,"""White glove service""","It helps streamline all the critical metrics that mean the most to us in Customer Success in one platform. As a tech company, we use a lot of different tools, so Planhat helps me be on task each day! Review collected by and hosted on G2.com.","We're currently not connected through the API, so we're underutilizing areas that would make our efforts in CS more efficient. However, Peter and Kristin are helping us maximize the data we have access to be more robust! Review collected by and hosted on G2.com.","Helps streamline our data to one platform, gives our team more visibility to where each account stands, helps maintain customer's health scores & risks, and helps us onboard/upgrade customers. Love the ability to create playbooks! Review collected by and hosted on G2.com."
Alejandra C.,Customer Success Executive,Mid-Market,51-1000 emp.,27-May-22,"""PlanhatPlanhat a powerful tool for customer management""","- Planhat is an excellent tool; using playbooks, you can define activities according to the life cycle phase of a business.
","The customer intelligence section can be improved, it is helpful, but some functions are a bit complex to use.
",No Review collected by and hosted on G2.com.
Beatriz F.,Customer Success Manager,Mid-Market,51-1000 emp.,26-May-22,"""Useful and powerfull  tool to keep everything up to dateIts and have full control of a CS portfolio.""","I love the ovwerview and control Planhat gives us of our customer portfolio. It allows us to know all about ours customers. Easy to use / User Friendly UI and customisable according to our needs, even integrating our own product. Planhat is also a fantastic tool for managing customers , having all our customer data in 1 place . The user interafce is incredibly easy to understand and the team are great to work with. Highly recommend. Review collected by and hosted on G2.com.","It is not available in other languages,  but nothing more, this is a solid product Review collected by and hosted on G2.com.","Use it and spend some time with it. Once you understand it, it will be a fundamental tool in your work Review collected by and hosted on G2.com."
Michele S.,Senior Director of Customer Success,Mid-Market,51-1000 emp.,02-Nov-22,"""AWESOME!! Using PlanHat has helped me with improved oversight and saves me time!""","Reporting, email templates and playbooks. Having access to all of these features makes my life easier and helps save my team members time. Review collected by and hosted on G2.com.",I don't love how you can't uncheck a task if you click it off by mistake - not the end of the world though! Review collected by and hosted on G2.com.,Oversight and team reporting based on activities. It's also helped save time to create a seamless process for consultations by using templates and playbooks. Review collected by and hosted on G2.com.
Tom K.,Support Engineer,Mid-Market,51-1000 emp.,25-May-22,"""Extensive dataplatform for Customer Success teams""","Planhat is a very flexible data-driven platform and is capable to dissect and combine your own data to provide new insights. You have total freedom when it comes to segmentation & dashboarding of your data. Things get really interesting when you discover the bubble room and metrics..
","The speed performance of Planhat is not always optimal. Especially metrics tend to be slow, with less to no feedback to the user how long it will take to complete the build of the metric for example.
",Make sure you have a tech-data-guy in your team to fully benefit from the possibilities of Planhat. Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,19-Oct-22,"""Great tool with minor difficulties""",Great tool to get an overview over all your customer data and so many possibilities to minimize manual work with automations and playbooks. And so much more possibilities we haven't explored yet. Planhats Support is outstanding. Review collected by and hosted on G2.com.,"The integrations especially with Jira and Mixpanel took a lot more time to get running than it was promised. We couldn't invest as much time as we wanted in setting up everything, so it took more time to actually be able to use Planhat properly. Review collected by and hosted on G2.com.","Helped us a lot to keep track of all our licenses, which made it easier to prevent churn and check contract overusage. It also improved our presales and onboarding process by using playbooks. Review collected by and hosted on G2.com."
David G.,Senior Account Manager,Small-Business,50 or fewer emp.,19-May-22,"""Everything, Everywhere, All at once.""","Planhat has become our single source of truth for our Professional Services team here. Integrating with almost every key software that we use on a day to day basis, Planhat helps us ascertain our customer's health and provides us with the tools to be proactive with them, rather than reactive. Review collected by and hosted on G2.com.","Honestly, there isn't a whole lot I dislike. I do wish that there was a full integration with Asana but Planhat itself can also be used to track implementation/onboarding projects. We just happened to move to Asana a few months before making the move to Planhat. 
","Tracking subscription renewals
"
Kevin M.,CSM,Small-Business,50 or fewer emp.,19-May-22,"""Planhat proves to help us on our CSM journey""","Ability to assign a tag freely to items giving reporting, trends and insights into behaviours, actions and their outcomes. This allows a team of individual CSMs, who work differently according to the needs of their client base, to nevertheless find commonalities. Review collected by and hosted on G2.com.","I'm not a fan of date-driven actions. Just the simple fact of going on holiday can mean that lots of items suddenly appear to be late. This is a real challenge for the platform to solve, and I'm not saying that it is done poorly in Planhat - you get reminded of things and that can be helpful, but it can quickly become too noisy and I just ignor it, go back to my email inbox and calendar to address the priority issues. Review collected by and hosted on G2.com.","Having a tool whose focus is to support the CSM in their daily work is great. Ability to simply distil best practices into playbooks that everyone else can use and further refine means that we are collaborating on the very way of working. Looking to expand the users of Planhat across support, PS and Sales to enable more collaboration, a single source of truth etc.. Review collected by and hosted on G2.com."
Renan P.,Implementation Success Manager Analyst,Mid-Market,51-1000 emp.,18-May-22,"""Planhat's variety of possibilities helps me to manage a very consistent routine.""","I really like the possibility of building several dashboards with almost unlimited filters, giving space for several usability analyzes to be done. I love the existence of the Portal, it is a tool that we use to centralize the subjects discussed with other clients and we always receive praise for that. Review collected by and hosted on G2.com.","Sometimes the g-mail integration goes out for unknown reasons. It also bothers me a bit the fact that the end users are always duplicated, needing to perform a merge, which in fact has greatly improved the speed to perform it. Review collected by and hosted on G2.com.","Compared to other CRM software I've had access to, Planhat is the one that best organizes all the information and creates useful data from it. I often joke that the limit for its use is our own imagination. Every day I discover something new that can be done on the platform. Review collected by and hosted on G2.com."
Michelle G.,Product Researcher,Mid-Market,51-1000 emp.,18-May-22,"""Great Analytics and perfect to manage customers!""","Great analytics and dashboards.
","Slow pages navigation depending on the amount of data to load.
","Consider if you need a platform to share information (documents, images, files, dashboards) with the customer and for that Planhat has a great feature! Review collected by and hosted on G2.com."
Espen B.,Chief Commercial Officer,Mid-Market,51-1000 emp.,18-May-22,"""Great tool for enterprise software solutions""","Good overview of customers, stages, status and activities. Kindly.ai works with cross-functional teams in squads and tribes, and Planhat allows for including the various teams and resources which we utilize in playbooks and triggers for various operations. Including the teams in Planhat has reduced the use of Trello and other project tools, and provides a much better overview of customer activities and projects. Review collected by and hosted on G2.com.","We've had some issues with the api integration with Hubspot that could have been solved faster, but could be that we have some complexity with our setup as well. Review collected by and hosted on G2.com.","Before purchasing Planhat we defined our need for a solution and looked into several Customer Success Software vendors. I liked that pricing wasn't user-based, so we could easily add new teams and members. The system has lots of functionality but is still easy to use. I recommend looking into the most relevant api early on and having a dedicated resource owning the system internally to ensure a structured process and good progress. Review collected by and hosted on G2.com."
Patricia A.,Client success manager,Small-Business,50 or fewer emp.,18-May-22,"""Great CS management tool""","The ""easy to use"" feeling and how it looks - very clean, simple and intuitive. I also like the fact that you can visualize things like revenue, account mapping and customise your panels to filter the information that is most relevant to you. Mapping users and creating the relevant tags is another great feature, as it allows us to easily identify  the different roles different contacts have in the account, without having to source this information elsewhere. Review collected by and hosted on G2.com.","The activity tab can get quite confusing, even when you apply the filters. It would also be handy to be able to have more than one person responsible for an action. Review collected by and hosted on G2.com.","It makes managing my CS base SO much easier! It also is a great way to help me plan my day and ensure the activities agreed with individuals are kept on track, without having to create different calendar reminders or notes. I really like the fact that you can combine planned activities as playbooks with add-hoc engagement and schedule follow ups for these. I cannot imagine having to manage my account stack without Planhat - I serve a mix of high, low and tech touch clients and setting up filters and sub-categories has helped me focus on the right accounts ate the right time. Also being able to see accounts based on their lifecycle is a huge benefit, as it allows me to concentrate efforts and plan my monthly/ quartly and half yearly engagement strategy. Review collected by and hosted on G2.com."
Emma W.,Customer Success Manager,Mid-Market,51-1000 emp.,17-May-22,"""An exceptional product for Customer Success Professionals""","The number of fantastic integrations! All info for our customers from Zendesk, Salesforce, Gmail, and Mixpanel is in one place. I also love the Planhat team. Our Customer Success Manager Laura is very knowledgable and offers fantastic suggestions. The Support Team are also brilliant and I love that it is in the product. Review collected by and hosted on G2.com.",I honestly can't fault Planhat. I probably am your number 1 fan! I actually get teased at work for it. Review collected by and hosted on G2.com.,"For us, having a full understanding of our customer base has been revolutionary. The reporting, customisable toggles and fields have been so useful to us. The onboarding experience for our customers has already improved due to Playbooks and the customer portal. We have been able to roll out a Tech Touch program to the whole organisation thanks to Planhat. All of our customers no matter the size will now get a great customer experience. Review collected by and hosted on G2.com."
Isabelle R.,Customer Success Manager,Small-Business,50 or fewer emp.,28-Oct-22,"""Planhat is an excellent Customer Success tool""","Accessibility of usage data, workflow automations, integrations with existing tech stack, responsiveness of the Planhat team. Review collected by and hosted on G2.com.","It takes a lot of resources to configure Planhat to work optimally for your company. However, the Planhat team is very helpful during this process. Internal preparation is required prior to pursuing Planhat onboarding. Review collected by and hosted on G2.com.","Planhat allows us to centralize all of our data, optimize and manage our customer relationships. Review collected by and hosted on G2.com."
Taylor C.,Head of Customer Success,Mid-Market,51-1000 emp.,01-Nov-22,"""Extremely Intuitive""","Planhat is simple to usee, extremely powerful, has straightforward billing and customer support is bar none the best. Shout out to our awesome CSM Peter! Review collected by and hosted on G2.com.",The only downside I have is no guided LMS for new users to use! Review collected by and hosted on G2.com.,"Planhat provides our solutions for customer contact, usage tracking, kpi measurements, as well as giving me vital leadership insights for my team. Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,24-Oct-22,"""Planhat gave us the insights we lacked before we used their platform""","The pretty straight forward dashboards you can build for your CSM team, since they should not be bothered with too complex follow up. They have enough on their plate. Review collected by and hosted on G2.com.",The usage of filters and logic behind some of the automation is less straightforward than we expected and can be quite time - consuming. Also we thought the integration went further than what it is today Review collected by and hosted on G2.com.,"Giving us insights in our client's health in one place, instead of having to consult 3 different resources. Also granting them the right user permissions gives them the autonomy they might want to create their own overviews Review collected by and hosted on G2.com."
Angeles A.,Customer Success Manager,Mid-Market,51-1000 emp.,16-Aug-22,"""Perfecto to manage your clients!""","How it easily displays all the info, and that is possible to linke it with other platforms like Slack, hubspot, etc i really like because its really clear and user friendly Review collected by and hosted on G2.com.","Sometimes i have problems loggin in, or i have to refresh the page. but otherwise it has everything good and the chat always help us, also our CSM is really helpfull when we need her Review collected by and hosted on G2.com.","To manage all the information of the clientes of all the group! its really really cool, and helpfull to have also an overview of my clients and be prepare for renew Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,01-Nov-22,"""Intuitive platform, great service""","I really like that the platform bends well to different needs. Its easy to create custom fields and metrics that make portfolio building and customizing a nice experience. Their live support is fast and reliable, and CSMs are proactive. Review collected by and hosted on G2.com.","Integration with our current CRM, Hubspot. Managing the Deals > Licenses setup has taken some time for us, but this has also to do with our own products/contract types. Review collected by and hosted on G2.com.","Planhat gives our CSM team portfolio management transparency and a tool to work in a unified way as a team in very practical things. As a manager, it is easy to stay up to date with portfolio statuses, and cases that require attention. I feel like we are still to unlock many benefits of the platform but we are taking steps to do that. Review collected by and hosted on G2.com."
Lauren E.,Head of Customer Success,Small-Business,50 or fewer emp.,13-Jun-22,"""Great tool for consolidating your customer data""",Having a single source of truth that can consolidate all data pertaining to a customer's account. Review collected by and hosted on G2.com.,There is a lot to learn and navigating the interface isn't always intuitive. Review collected by and hosted on G2.com.,"Planhat is solving multiple problems for me and my team. Previously to Planhat, we were monitoring customer health across multiple tools and excel reports. Planhat has allowed us to consolidate all of this data into a single platform. We can now create even more detailed health metrics which will allow us to truly scale the customer success function. The software will also allow visibility to other departments that was previously hard to manage. Marketing can see our champions, Sales can identify growth accounts and Product can monitor how often our customers access and engage with our tech. Review collected by and hosted on G2.com."
Al T.,Head of content,Mid-Market,51-1000 emp.,13-Nov-22,"""Simple to use and saves so much time""",I love how intuitive the system is and being able to see live data and information without spending ages finding it. Review collected by and hosted on G2.com.,There don't appear to be any out of the box tech touch options. This would be really helpful. Review collected by and hosted on G2.com.,All Information in one place which saves so much time. Review collected by and hosted on G2.com.
Unknown,Unknown,Small-Business,50 or fewer emp.,20-Oct-22,"""Quick time-to-value!""","We have been using Planhat for 5 or 6 months. In that short time, we have been able to realize solid value for the level of effort we've extended.  Could not have done it without our amazing Onboarding Consultant - he really helped us think through the way we were operating. Review collected by and hosted on G2.com.","We have a complex prooduct portfolio and we have come across some challenges in our implementation. There were also a few integrations that have not gone smoothly, although our Planhat team is doing the best they can to help us through it. Review collected by and hosted on G2.com.","We have multiple business areas supporting multiple products. Before Planhat, we didn't have a common way of working, and each business area operated on its own. We still have very unique processes, but Planhat allows us to have visibility across product lines. Review collected by and hosted on G2.com."
Renata S.,Human Resources Specialist - Iberia,Small-Business,50 or fewer emp.,03-Nov-22,"""Useful and user friendly""","What I like the most is that I can keep track of my clients, metrics, revenue, contact information, and I also like the feature that all my emails are linked to the platform and is visible to anyone with access Review collected by and hosted on G2.com.","Sometimes I update things, and it doesn't stay. Review collected by and hosted on G2.com.",Keeping track of my clients Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,04-Nov-22,"""Planhat makes it easy!""",The best things about Planhat are the automated features and the easy-to-use tabs and buttons.  I enjoy the platform's capabilities as well as the delicate controls in place. Review collected by and hosted on G2.com.,I wish the program would allow more views especially when it comes to viewing the NPS scores and comments.  Also wish the program would allow for more personalized settings. Review collected by and hosted on G2.com.,Planhat helps me with customer outreaches. It also helps me monitor customer health and provides insight to usage.  This save me from a lot of digging around as well as less communication errors. Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,18-Oct-22,"""Data driven customer engagement""","I like how flexible and data-driven the platform is. Excellent customer service (CSM + Technical Engineer).
",The reporting part of the platform could be better. It needs more options and flexibility. The option to drill deep into graphs and charts and see the underlying data points for the visual representation is crucial. Review collected by and hosted on G2.com.,"It is helping us engage with our customers in a more structured way and gives us insight into how they are doing in their lifecycle, as well as having a lot of information in one place. Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,01-Nov-22,"""Working with PlanHat on a daily basis.""",I really like PlanHat's simplicity and the way it interacts with other apps. I find myself using PlanHat at least 4-5 hours a day as it's part of my day to day work and I very rarely get any delays or malfunctions with the software. Review collected by and hosted on G2.com.,"I would say that the Filters tab can definitely use some attention. It is functional; however, I do believe that it has greater potential in general. Would love to see some changes made to that in the near future. Review collected by and hosted on G2.com.","PlanHat is saving us a lot of time when it comes to keeping track of everything you do on a daily basis. I highly appreciate the time PlanHat saves me each day, as I'm able to focus on more important tasks with their automation. Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,01-Nov-22,"""A solid customer success platform""","Delightful user interface, strong self-serve configurability, good support, insightful webinars, gives you exposure to strong CS practices applied to you as a customer Review collected by and hosted on G2.com.","Can be a bit buggy at times, with data not showing up properly. No project planning (e.g. Gantt) features for complex implementations Review collected by and hosted on G2.com.","Visibility into my account portfolio (a source of truth), actionable visualizations for the data I need to report and operate on, the data I need at my fingertips (vs asking people for it), a pulse on the health and risks in my portfolio Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,17-Oct-22,"""just another level""","Everything is awesome to Planhat
","the issue is that you can do anything in the plateform . Therefore you need to know what you want to know
","time, visibility, priorization Review collected by and hosted on G2.com."
Adah S.,Customer Success Manager,Mid-Market,51-1000 emp.,22-Sep-22,"""The Customer Success platform!""",The insights you get with all the different modules in your customers is exactly what every Customer Success team needs! Review collected by and hosted on G2.com.,I don't believe I have any dislikes because there are many ways to set up your (personalized) customer platform; you'll always find a way that works for you. Review collected by and hosted on G2.com.,Really getting to know your customer needs on a deeper level by identifying the problem before it becomes a pain. Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,08-Dec-22,"""Great CS Platform!""",Planhat has great integrations and data handling which allows a CSM to efficiently manage a dynamic customer portfolio and gather meaningful insights. Review collected by and hosted on G2.com.,"We are still in the early days of implementation, but haven't found major downsides. The customer support from Planhat is top notch in finding solutions to any roadblocks. Review collected by and hosted on G2.com.","A full handling of our customer portfolio's, identifying opportunities and taking actions. Helping us to scale efficiently. Review collected by and hosted on G2.com."
Melody J.,CSM,Mid-Market,51-1000 emp.,03-Nov-22,"""Planhat is a great CSM tool with a lot of possibilities that helps me in my daily work!""",#NAME?,I'd like a better solution for preview/testing the NPS before sending it out. Review collected by and hosted on G2.com.,"It helps me gather data from many sources, so it saves me time and helps me to prioritize 
"
Unknown,Unknown,Small-Business,50 or fewer emp.,23-Dec-22,"""Planhat - the best CS software, head & shoulders above the rest""","Clear concepts & language, most fully feature, best usability (UX/UI) of all CS software by a mile Review collected by and hosted on G2.com.","Always room for improvement, more capabilities around dashboards / business intelligence would be great in time Review collected by and hosted on G2.com.","Process consolidation, execution, clarity, accountability & visibility in our Customer Success function Review collected by and hosted on G2.com."
Casey C.,"Vice President, Strategic Initiatives",Enterprise,> 1000 emp.,01-Nov-22,"""Planhat's playbook approach is a perfect fit for our company and how we want to support our clients""",The Planhat playbooks allow our team to continue to evolve on how we want to support our client's success. We quickly adapt as our clients need change. Review collected by and hosted on G2.com.,The training support for our internal team and train-the-trainer program needs some improvement. We know the Planhat is currently working on a solution for us and we look forward to that plan. Review collected by and hosted on G2.com.,Our company needed to manage better the entire client journey. The benefit is creating a deeper relationship with our customers and lowering churn. Review collected by and hosted on G2.com.
Abhishek W.,Customer Success Manager,Mid-Market,51-1000 emp.,07-Jul-22,"""Best CRM for Enterprises Business""",I love the molding behavior of the app. You can create your own CRM as per your need for your own Business. I love the Customer Intelligent feature as well. Buy it. Review collected by and hosted on G2.com.,"Here I am unable to find the meetings logged in as we are not able to create a filter end-user-wise. Furter, Unable to save future opportunities in the Planhat. Review collected by and hosted on G2.com.",It is like creating your own CRM like creating your own website. Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,08-Nov-22,"""Flexible Platform and API Makes it great for getting what you want out of it.""",I really enjoy how flexible and straightforward the API is. It makes adding that extra bit of functionality you need very easy. Review collected by and hosted on G2.com.,"There are some idiosyncracies with how the activity model is setup splitting this into two different tables on the backend, making it confusing at times. Review collected by and hosted on G2.com.",We were previously using a much more complex/robust solution that honestly overwhelmed our users. The UI is simple and straightforward so folks are already at ease diving in. Review collected by and hosted on G2.com.
April B.,Senior Partnership Success Manager,Small-Business,50 or fewer emp.,03-Nov-22,"""Planhat helps streamline managing high volumes of onboarding new districts at TalkingPoints""",We love the two-way integration with SF and Gmail. Review collected by and hosted on G2.com.,Text editors in Portal and email templates Review collected by and hosted on G2.com.,We onboard several districts a week and Planhat helps us keep up with the phases provides reminders for upcoming meetings via Google Calendar integration. Review collected by and hosted on G2.com.
Unknown,Unknown,Mid-Market,51-1000 emp.,29-Sep-22,"""Great platform which has allowed us to streamline our workload.""","I really enjoy using playbooks. It makes tasks easy to follow, ensuring no steps are missed in the process. As well as this having access to all the platforms our workplace uses in one place really makes it easy for day to day tasks. Review collected by and hosted on G2.com.",It can be very fidgety to begin with as there are a lot of tabs and each time you click it takes you to a new page. I am use to Zendesk which creates tabs so you can always go back to your previous page easily. Review collected by and hosted on G2.com.,"Planhat is allowing us to have all platforms in one place for easy access to access customer information, as well as sales information. This makes it a lot easier to communicate with our customers and also perform our tasks more easily. Review collected by and hosted on G2.com."
Beatriz F.,Team Lead Customer Success Manager,Mid-Market,51-1000 emp.,11-Aug-22,"""Powerful and amazing tool for a Customer Success""","Planhat is easy to use. Their activities, playbooks and overviview makes it easy to track the team task and our clients. It connects perfectly with Hubspot and Zendesk Review collected by and hosted on G2.com.","It's a pity that you can't change the language, but otherwise it's a perfect tool. Review collected by and hosted on G2.com.",Keeping control and having a good overview of our customers' life.  Planhat also helps with getting an overview of results and forecasts. And Planhat also help me manage our customers' health based on usage in our platform. Review collected by and hosted on G2.com.
Tim v.,Customer Success Manager,Mid-Market,51-1000 emp.,29-Jun-22,"""I love the insight into the health of our customers and being able to react immediately to changes.""",To have data presented to you in a few seconds that took hours before Planhat. Review collected by and hosted on G2.com.,"Schedule meetings using the date and time picker. The time picker is not user-friendly. 
","It takes some time to get your data points in Planhat, but this is a very important step to get the most out of it. Review collected by and hosted on G2.com."
Unknown,Unknown,Mid-Market,51-1000 emp.,09-Nov-22,"""Excellent platform to aggregate all CS data and ensure all parts of the org are aligned""","Planhat allows our implementation team, CSMs, operations team, and leadership to have visibility into all customer-related activities and metrics, including usage data, customer health scores, customer communications, and more. The platform enables our team to efficiently collaborate and communicate regarding everything customer-related. Since implementing Planhat, our understanding of our customers has dramatically improved. Review collected by and hosted on G2.com.",The Customer Intelligence module is limited and oftentimes requires convoluted formulas to get close to the data our team wishes to derive. The NPS module is also rather limited in terms of customization and broader surveying functionality. Review collected by and hosted on G2.com.,"Planhat connects and tracks all customer data, allowing our team to engage proactively in customer outreach. Review collected by and hosted on G2.com."
